child_num,hex_id,dns_mapping,notes
0,6kgruaaeaaaa,0.0.0.0.0.0.1.0.0.0.0.5.1.2.3.20.h3.vichex.ca.,"Map of Common Crawl Archives"
1,6kgruqaeaaaa,0.0.0.0.0.0.1.0.0.0.1.5.1.2.3.20.h3.vichex.ca.,
2,6kgrvaaeaaaa,0.0.0.0.0.0.1.0.0.0.2.5.1.2.3.20.h3.vichex.ca.,
3,6kgrvqaeaaaa,0.0.0.0.0.0.1.0.0.0.3.5.1.2.3.20.h3.vichex.ca.,
4,6kgrwaaeaaaa,0.0.0.0.0.0.1.0.0.0.4.5.1.2.3.20.h3.vichex.ca.,
5,6kgrwqaeaaaa,0.0.0.0.0.0.1.0.0.0.5.5.1.2.3.20.h3.vichex.ca.,
6,6kgrxaaeaaaa,0.0.0.0.0.0.1.0.0.0.6.5.1.2.3.20.h3.vichex.ca.,
7,6kgrucaeaaaa,0.0.0.0.0.0.1.0.0.1.0.5.1.2.3.20.h3.vichex.ca.,
8,6kgrusaeaaaa,0.0.0.0.0.0.1.0.0.1.1.5.1.2.3.20.h3.vichex.ca.,
9,6kgrvcaeaaaa,0.0.0.0.0.0.1.0.0.1.2.5.1.2.3.20.h3.vichex.ca.,
10,6kgrvsaeaaaa,0.0.0.0.0.0.1.0.0.1.3.5.1.2.3.20.h3.vichex.ca.,
11,6kgrwcaeaaaa,0.0.0.0.0.0.1.0.0.1.4.5.1.2.3.20.h3.vichex.ca.,
12,6kgrwsaeaaaa,0.0.0.0.0.0.1.0.0.1.5.5.1.2.3.20.h3.vichex.ca.,
13,6kgrxcaeaaaa,0.0.0.0.0.0.1.0.0.1.6.5.1.2.3.20.h3.vichex.ca.,
14,6kgrueaeaaaa,0.0.0.0.0.0.1.0.0.2.0.5.1.2.3.20.h3.vichex.ca.,
15,6kgruuaeaaaa,0.0.0.0.0.0.1.0.0.2.1.5.1.2.3.20.h3.vichex.ca.,
16,6kgrveaeaaaa,0.0.0.0.0.0.1.0.0.2.2.5.1.2.3.20.h3.vichex.ca.,
17,6kgrvuaeaaaa,0.0.0.0.0.0.1.0.0.2.3.5.1.2.3.20.h3.vichex.ca.,
18,6kgrweaeaaaa,0.0.0.0.0.0.1.0.0.2.4.5.1.2.3.20.h3.vichex.ca.,
19,6kgrwuaeaaaa,0.0.0.0.0.0.1.0.0.2.5.5.1.2.3.20.h3.vichex.ca.,
20,6kgrxeaeaaaa,0.0.0.0.0.0.1.0.0.2.6.5.1.2.3.20.h3.vichex.ca.,
21,6kgrugaeaaaa,0.0.0.0.0.0.1.0.0.3.0.5.1.2.3.20.h3.vichex.ca.,
22,6kgruwaeaaaa,0.0.0.0.0.0.1.0.0.3.1.5.1.2.3.20.h3.vichex.ca.,
23,6kgrvgaeaaaa,0.0.0.0.0.0.1.0.0.3.2.5.1.2.3.20.h3.vichex.ca.,
24,6kgrvwaeaaaa,0.0.0.0.0.0.1.0.0.3.3.5.1.2.3.20.h3.vichex.ca.,
25,6kgrwgaeaaaa,0.0.0.0.0.0.1.0.0.3.4.5.1.2.3.20.h3.vichex.ca.,
26,6kgrwwaeaaaa,0.0.0.0.0.0.1.0.0.3.5.5.1.2.3.20.h3.vichex.ca.,
27,6kgrxgaeaaaa,0.0.0.0.0.0.1.0.0.3.6.5.1.2.3.20.h3.vichex.ca.,
28,6kgruiaeaaaa,0.0.0.0.0.0.1.0.0.4.0.5.1.2.3.20.h3.vichex.ca.,
29,6kgruyaeaaaa,0.0.0.0.0.0.1.0.0.4.1.5.1.2.3.20.h3.vichex.ca.,
30,6kgrviaeaaaa,0.0.0.0.0.0.1.0.0.4.2.5.1.2.3.20.h3.vichex.ca.,
31,6kgrvyaeaaaa,0.0.0.0.0.0.1.0.0.4.3.5.1.2.3.20.h3.vichex.ca.,
